"","FIPS","Name","confirmed","deaths"
"1",60,"American Samoa, US",0,0
"2",66,"Guam, US",149,5
"3",69,"Northern Mariana Islands, US",15,2
"4",72,"Puerto Rico, US",2031,102
"5",78,"Virgin Islands, US",66,4
"6",1001,"Autauga, Alabama, US",61,3
"7",1003,"Baldwin, Alabama, US",205,5
"8",1005,"Barbour, Alabama, US",51,1
"9",1007,"Bibb, Alabama, US",44,0
"10",1009,"Blount, Alabama, US",44,0
"11",1011,"Bullock, Alabama, US",18,1
"12",1013,"Butler, Alabama, US",155,2
"13",1015,"Calhoun, Alabama, US",120,3
"14",1017,"Chambers, Alabama, US",308,21
"15",1019,"Cherokee, Alabama, US",18,0
"16",1021,"Chilton, Alabama, US",63,1
"17",1023,"Choctaw, Alabama, US",56,0
"18",1025,"Clarke, Alabama, US",50,1
"19",1027,"Clay, Alabama, US",25,1
"20",1029,"Cleburne, Alabama, US",13,1
"21",1031,"Coffee, Alabama, US",141,0
"22",1033,"Colbert, Alabama, US",51,2
"23",1035,"Conecuh, Alabama, US",12,0
"24",1037,"Coosa, Alabama, US",31,1
"25",1039,"Covington, Alabama, US",48,1
"26",1041,"Crenshaw, Alabama, US",31,0
"27",1043,"Cullman, Alabama, US",61,0
"28",1045,"Dale, Alabama, US",36,0
"29",1047,"Dallas, Alabama, US",83,3
"30",1049,"DeKalb, Alabama, US",124,2
"31",1051,"Elmore, Alabama, US",127,4
"32",1053,"Escambia, Alabama, US",33,3
"33",1055,"Etowah, Alabama, US",161,10
"34",1057,"Fayette, Alabama, US",7,0
"35",1059,"Franklin, Alabama, US",184,1
"36",1061,"Geneva, Alabama, US",11,0
"37",1063,"Greene, Alabama, US",67,2
"38",1065,"Hale, Alabama, US",62,2
"39",1067,"Henry, Alabama, US",27,1
"40",1069,"Houston, Alabama, US",100,4
"41",1071,"Jackson, Alabama, US",56,2
"42",1073,"Jefferson, Alabama, US",1065,57
"43",1075,"Lamar, Alabama, US",13,0
"44",1077,"Lauderdale, Alabama, US",79,2
"45",1079,"Lawrence, Alabama, US",19,0
"46",1081,"Lee, Alabama, US",417,30
"47",1083,"Limestone, Alabama, US",54,0
"48",1085,"Lowndes, Alabama, US",85,5
"49",1087,"Macon, Alabama, US",43,2
"50",1089,"Madison, Alabama, US",241,4
"51",1091,"Marengo, Alabama, US",73,3
"52",1093,"Marion, Alabama, US",93,7
"53",1095,"Marshall, Alabama, US",487,8
"54",1097,"Mobile, Alabama, US",1355,78
"55",1099,"Monroe, Alabama, US",15,1
"56",1101,"Montgomery, Alabama, US",515,13
"57",1103,"Morgan, Alabama, US",84,0
"58",1105,"Perry, Alabama, US",18,0
