county,date,cases,deaths,sincedeath,cbsa18,cbsaname18,countyn,popestimate2019,density,temp_mar20,pcpn_mar20,obesity,lndensity,lncbsapop,pcases,pdeaths,age60plus,college,seasonal_units,hospitality_jobs,oil_jobs,black_pct,hisp_pct,asian_pct,wfh_share,italy_born,china_born,transit_modeshare,wfh_modeshare
1001,22019,23,1,9,33860,"Montgomery, AL",Autauga AL,55869,360.5407,65.4,6.63,33.2,5.887605,12.83011,41.16773,1.789901,0.2138451,0.2768929,0.0076775,0.2469192,0,0.1934318,0.0296577,0.0120501,0.3553474,0,0.0017754,0.0010644,0.0276322
1003,22019,87,2,14,19300,"Daphne-Fairhope-Foley, AL",Baldwin AL,223234,174.8945,68.4,0.81,31.1,5.164183,12.31598,38.97256,0.8959209,0.276284,0.3134588,0.0839162,0.2335901,0.0004046,0.0878398,0.0464678,0.0113429,0.3312219,0.0001922,0.0022152,0.000897,0.0613323
1005,22019,11,0,0,21640,"Eufaula, AL-GA",Barbour AL,24686,73.61488,65.5,5.61,41.7,4.298847,10.20304,44.55967,0,0.2559383,0.1221593,0.083103,0.0962833,0,0.4803264,0.0427636,0.0045416,0.2641789,0,0,0.0025767,0.0130007
1007,22019,17,0,0,13820,"Birmingham-Hoover, AL",Bibb AL,22394,16.75264,62.6,7.56,37.7,2.818556,13.90209,75.91319,0,0.2255804,0.1148923,0.0182295,0.0786452,0,0.2112054,0.02625,0.0023214,0.2097185,0,0,0.0046564,0.0261767
1009,22019,16,0,0,13820,"Birmingham-Hoover, AL",Blount AL,57826,35.84307,59.9,9.12,33.7,3.57915,13.90209,27.66921,0,0.2460408,0.1264289,0.0123441,0.1167795,0,0.0146266,0.0957123,0.0027835,0.2676684,0.0002082,0.0004857,0.0014659,0.0225553
1011,22019,8,0,0,,,Bullock AL,10101,9.290742,64.6,5.64,37.1,2.229018,9.220389,79.20008,0,0.2307161,0.1330236,0.0349094,0.0434783,0,0.6954035,0.0796015,0.0012823,0.2078655,0,0,0,0.0274112
1013,22019,8,0,0,,,Butler AL,19448,56.17489,66.3,3.94,43.9,4.02847,9.8755,41.13533,0,0.2762195,0.1609303,0.0244365,0.1310379,0,0.4455793,0.0150915,0.0127033,0.2406658,0,0,0,0.0157034
1015,22019,62,0,0,11500,"Anniston-Oxford, AL",Calhoun AL,113605,235.0704,60.4,9.16,38.5,5.459885,11.64048,54.57506,0,0.24606,0.1796803,0.0195224,0.1386739,0,0.2085021,0.0391067,0.0093195,0.2663717,0.0001129,0.0006342,0.003224,0.0305216
1017,22019,216,10,17,29300,"LaGrange, GA-AL",Chambers AL,33254,146.2033,61,5.67,40.2,4.984998,11.54419,649.5459,30.07157,0.2671724,0.1323205,0.0468759,0.1301638,0,0.3956567,0.0256136,0.0126729,0.2377249,0,0,0.0018755,0.0179216
1019,22019,9,0,0,,,Cherokee AL,26196,27.57655,58.6,7.24,34.8,3.316966,10.17336,34.35639,0,0.3097726,0.1289027,0.1916399,0.1162325,0,0.0424093,0.0162108,0.00315,0.217079,0,0.000967,0.0022748,0.0174749
1021,22019,33,0,0,13820,"Birmingham-Hoover, AL",Chilton AL,44428,46.41027,63.6,7.92,38.1,3.837521,13.90209,74.27748,0,0.2332118,0.1416104,0.0264475,0.123036,0,0.0996761,0.0792698,0.0044165,0.245512,0,0,0,0.0249317
1023,22019,12,0,0,,,Choctaw AL,12589,6.47058,66.2,4.14,41.1,1.867266,9.440578,95.32131,0,0.3046492,0.129822,0.0740741,0.0522946,0,0.4151546,0.0104353,0.0015575,0.2172889,0,0,0,0.0184109
1025,22019,21,0,0,,,Clarke AL,23622,17.23429,66.7,2.61,34.2,2.846901,10.06993,88.90018,0,0.268102,0.1255483,0.0970097,0.1130677,0,0.4432692,0.0136288,0.0041806,0.2042997,0,0.0014352,0.001461,0.0098287
1027,22019,14,0,0,,,Clay AL,13235,11.2617,60.4,8.47,41.1,2.421407,9.49062,105.7801,0,0.2785687,0.1016694,0.0721847,0.0356522,0,0.1383051,0.0301318,0.0021092,0.2016186,0,0.0009717,0,0.0326147
1029,22019,12,0,0,,,Cleburne AL,14910,12.83203,59.5,8.6,37.7,2.551944,9.609787,80.48289,0,0.2574231,0.1367161,0.0359976,0.080749,0,0.0286915,0.0248215,0.0020685,0.2638166,0,0,0.0001867,0.03324
1031,22019,36,0,0,21460,"Enterprise, AL",Coffee AL,52342,223.3308,67,2.86,34.2,5.408654,10.86555,68.77842,0,0.2315591,0.2341602,0.0179314,0.133727,0,0.1718777,0.0758057,0.0154694,0.2850997,0.000351,0.0040555,0,0.0265781
1033,22019,11,1,9,22520,"Florence-Muscle Shoals, AL",Colbert AL,55241,330.5393,58.1,9.19,30.5,5.800725,11.90477,19.91275,1.81025,0.270023,0.1872768,0.0225572,0.0909365,0,0.1599832,0.0267521,0.0057339,0.2603098,0,0.0004404,0.0009966,0.0208843
1035,22019,5,0,0,,,Conecuh AL,12067,8.502934,67.4,2.55,43.8,2.140411,9.39823,41.43532,0,0.3027613,0.1072559,0.0355593,0.1326453,0,0.4566262,0.0215036,0.0020363,0.1845015,0,0,0.002064,0.0237358
1037,22019,18,1,2,10760,"Alexander City, AL",Coosa AL,10663,9.456465,62.7,7.6,40.6,2.246699,10.84017,168.808,9.378223,0.3212319,0.1157959,0.1652943,0.1544401,0,0.304713,0.0251983,0.0012133,0.2232579,0,0,0.0045056,0.0443054
1039,22019,16,0,0,,,Covington AL,37049,47.74129,67.3,1.9,31.7,3.865797,10.52,43.18605,0,0.2852701,0.1494818,0.0367589,0.0904821,0,0.1244255,0.0174931,0.0042989,0.2678582,0,0.0005087,0.0004759,0.0160446
1041,22019,3,0,0,,,Crenshaw AL,13772,10.13578,65.9,4.09,38.2,2.316072,9.530393,21.78333,0,0.2612124,0.1555556,0.0353461,0.0535547,0,0.2322049,0.0231481,0.0107784,0.2514166,0,0,0.0053947,0.0424384
1043,22019,40,1,14,18980,"Cullman, AL",Cullman AL,83768,98.16699,59,8.44,36.7,4.58667,11.33581,47.75093,1.193773,0.2519834,0.1374886,0.0526931,0.119962,0,0.0120563,0.0443302,0.0063877,0.2435548,0.0001822,0.0000364,0.0010408,0.0209379
1045,22019,12,0,0,37120,"Ozark, AL",Dale AL,49172,109.1623,67.1,3.63,37.3,4.692836,10.80308,24.40413,0,0.2332094,0.1704511,0.0207674,0.1009823,0,0.2045102,0.0663861,0.0135632,0.2581953,0,0,0.0003485,0.0301175
1047,22019,17,0,0,42820,"Selma, AL",Dallas AL,37196,277.9419,65.9,5.9,43.8,5.627412,10.52396,45.70384,0,0.2540851,0.1511654,0.0250787,0.0884692,0,0.7005743,0.0111198,0.0056121,0.2279293,0,0.0005746,0,0.0145093
1049,22019,29,0,0,22840,"Fort Payne, AL",DeKalb AL,71513,41.6967,57.2,6.92,29.1,3.730422,11.17763,40.55207,0,0.2365623,0.1270992,0.031244,0.0941196,0,0.0144848,0.1484205,0.0035021,0.2220295,0,0,0.0005307,0.0260756
1051,22019,43,0,0,33860,"Montgomery, AL",Elmore AL,81209,102.2668,64.4,6.22,34.3,4.627585,12.83011,52.94979,0,0.2141732,0.2450546,0.0505529,0.199281,0,0.212146,0.0301269,0.0068509,0.3405028,0,0.0009112,0.0012507,0.0255792
1053,22019,10,0,0,12120,"Atmore, AL",Escambia AL,36633,38.63777,68.1,1.72,39.6,3.65423,10.50871,27.29779,0,0.2414825,0.1265935,0.003254,0.2214356,0.0245821,0.3140307,0.0246816,0.0027484,0.2393105,0,0.0028129,0,0.0067506
1055,22019,78,7,14,23460,"Gadsden, AL",Etowah AL,102268,277.8291,59.6,9.3,35.7,5.627006,11.53535,76.2702,6.844761,0.2586219,0.1773318,0.009433,0.1337407,0,0.1548375,0.0401557,0.0076194,0.2627838,0.0000874,0.002244,0.0020814,0.0398364
1057,22019,4,0,0,,,Fayette AL,16302,15.15662,60.8,7.22,41.6,2.718438,9.699043,24.53687,0,0.2823587,0.1293847,0.0731995,0.0841424,0.0213592,0.118542,0.0180734,0.0039555,0.2213213,0,0.0015074,0,0.020648
1059,22019,12,1,1,,,Franklin AL,31362,63.37006,58.6,8.17,34.2,4.148992,10.35335,38.26287,3.188572,0.2298568,0.1287238,0.0159695,0.0658107,0,0.0388356,0.1775022,0.0025508,0.2281773,0,0.0002219,0.0020359,0.0133114
1061,22019,1,0,0,20020,"Dothan, AL",Geneva AL,26271,22.48244,67.8,1.81,39.1,3.112734,11.9141,3.806479,0,0.2777609,0.1109259,0.0198935,0.0731126,0,0.0931443,0.0404347,0.0030022,0.232985,0,0.0031709,0.0003028,0.0172588
1063,22019,18,0,0,46220,"Tuscaloosa, AL",Greene AL,8111,6.908698,63.8,7.69,35.4,1.932781,12.43737,221.9209,0,0.3017126,0.1009772,0.253202,0.1616242,0,0.7960646,0.0166404,0.0025507,0.2674728,0,0,0,0.0372051
1065,22019,17,0,0,46220,"Tuscaloosa, AL",Hale AL,14651,13.37775,63.8,7.22,40.7,2.593593,12.43737,116.033,0,0.2608991,0.1410982,0.1310274,0.0780843,0,0.5780253,0.0135814,0.0028521,0.2719477,0,0,0.0012024,0.0312625
1067,22019,14,0,0,20020,"Dothan, AL",Henry AL,17205,22.47761,67,4.25,36.3,3.11252,11.9141,81.3717,0,0.3014702,0.1797485,0.092898,0.0847979,0,0.2582951,0.0267302,0.0032541,0.272433,0,0,0,0.0216564
1069,22019,52,2,14,20020,"Dothan, AL",Houston AL,105882,366.7463,68,2.39,38.1,5.90467,11.9141,49.11127,1.888895,0.241974,0.2102709,0.0113591,0.1251479,0,0.2691984,0.0343863,0.0102366,0.2763577,0.0000767,0.0011787,0.0009381,0.0255794
1071,22019,29,2,21,42460,"Scottsboro, AL",Jackson AL,51626,56.17512,57.1,7.48,39.4,4.028474,10.85178,56.17324,3.874017,0.2766932,0.1418402,0.0291564,0.0988593,0,0.0341348,0.0295346,0.0047356,0.2469127,0,0.0006719,0.000403,0.0271509
